"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual","sum","year"
"Tunisia",1.306,0.955,0.579,0.254,0.024,0.018,1.285,4.421,2024
"Turkiye",1.702,1.175,0.631,0.202,0.068,0.115,1.083,4.976,2024
"Uganda",0.772,1.151,0.373,0.587,0.178,0.054,1.256,4.371,2024
"Ukraine",1.35,1.315,0.513,0.631,0.285,0.025,0.753,4.872,2024
"United Arab Emirates",1.983,1.164,0.563,0.815,0.209,0.258,1.741,6.733,2024
"United Kingdom",1.822,1.326,0.672,0.713,0.267,0.351,1.598,6.749,2024
"United States",1.939,1.392,0.542,0.586,0.223,0.169,1.873,6.724,2024
"Uruguay",1.596,1.431,0.592,0.775,0.106,0.22,1.891,6.611,2024
"Uzbekistan",1.212,1.394,0.539,0.835,0.251,0.215,1.749,6.195,2024
"Venezuela",0,1.321,0.491,0.518,0.192,0.086,2.998,5.606,2024
"Vietnam",1.331,1.267,0.539,0.843,0.094,0.16,1.81,6.044,2024
"Yemen",0.671,1.281,0.293,0.362,0.08,0.113,0.76,3.56,2024
"Zambia",0.899,0.809,0.264,0.727,0.168,0.109,0.526,3.502,2024
"Zimbabwe",0.748,0.85,0.232,0.487,0.096,0.131,0.797,3.341,2024
