"year","month","day","mode","route","peak","numerator","denominator","mean"
2023,2,2,"Rail","Red","OFF_PEAK",108701.051108741,127637.636814458,0.85163791669659
2023,2,2,"Rail","Red","PEAK",93499.025916732,114718.128629834,0.815032698261923
2023,2,3,"Rail","Blue","OFF_PEAK",36082.656992126,42890.25683664,0.841278641197167
2023,2,3,"Rail","Blue","PEAK",26718.648059606,28754.240403329,0.929207229432243
2023,2,3,"Rail","Green-B","OFF_PEAK",9892.492155812,12361.415872651,0.800271769652102
2023,2,3,"Rail","Green-B","PEAK",6266.715344618,7664.679433756,0.817609581559115
2023,2,3,"Rail","Green-C","OFF_PEAK",9346.783987883,12275.722039705,0.761404010098262
2023,2,3,"Rail","Green-C","PEAK",7041.440142914,9633.862632048,0.730905184332809
2023,2,3,"Rail","Green-D","OFF_PEAK",18218.373574653,23794.037091235,0.765669714004274
2023,2,3,"Rail","Green-D","PEAK",12925.16964768,17595.103258666,0.734589019323547
2023,2,3,"Rail","Green-E","OFF_PEAK",17487.853473719,21507.11385734,0.813119491053919
2023,2,3,"Rail","Green-E","PEAK",11851.116420307,14922.059517242,0.794201122614032
2023,2,3,"Rail","Orange","OFF_PEAK",76750.995864333,91203.62678274,0.841534471509173
2023,2,3,"Rail","Orange","PEAK",57678.947180648,67164.920740958,0.85876595318417
2023,2,3,"Rail","Red","OFF_PEAK",105533.3167417,125223.605915916,0.842758966808243
2023,2,3,"Rail","Red","PEAK",95641.158452707,109769.767519587,0.871288703746604
2023,2,4,"Rail","Blue","OFF_PEAK",40087.690383492,44448.656710919,0.901887556337429
2023,2,4,"Rail","Green-B","OFF_PEAK",9781.638331121,13126.750720998,0.745168285665238
2023,2,4,"Rail","Green-C","OFF_PEAK",13441.647704049,17685.02402777,0.760058209869672
2023,2,4,"Rail","Green-D","OFF_PEAK",18479.271385107,26314.430996642,0.702248564199057
2023,2,4,"Rail","Green-E","OFF_PEAK",16680.278873055,22933.14907765,0.727343585330421
2023,2,4,"Rail","Orange","OFF_PEAK",55828.747291655,66866.198110333,0.834932280724775
2023,2,4,"Rail","Red","OFF_PEAK",56872.859485209,73398.95129251,0.774845668551297
2023,2,5,"Rail","Blue","OFF_PEAK",32978.277628521,33802.665960994,0.975611736262924
2023,2,5,"Rail","Green-B","OFF_PEAK",8114.561171388,10476.971105285,0.774514035577963
2023,2,5,"Rail","Green-C","OFF_PEAK",11047.167302605,13629.259462239,0.810547875562285
2023,2,5,"Rail","Green-D","OFF_PEAK",14356.962703674,18297.424983137,0.784643889339918
2023,2,5,"Rail","Green-E","OFF_PEAK",12592.820837328,16251.605194085,0.7748662785576
2023,2,5,"Rail","Orange","OFF_PEAK",45716.965174946,46839.146759622,0.976041801307034
2023,2,5,"Rail","Red","OFF_PEAK",49997.767448862,57343.864264117,0.871893934782281
2023,2,6,"Rail","Blue","OFF_PEAK",40568.455017042,43273.878344136,0.937481376049101
2023,2,6,"Rail","Blue","PEAK",27258.424399632,28489.964239435,0.956772854137235
2023,2,6,"Rail","Green-B","OFF_PEAK",9230.442210108,11200.67116082,0.824097241814948
2023,2,6,"Rail","Green-B","PEAK",5194.336560771,6783.371543884,0.765745548090212
2023,2,6,"Rail","Green-C","OFF_PEAK",10475.603176767,13036.523640853,0.803558024007201
2023,2,6,"Rail","Green-C","PEAK",7736.930277926,9752.285784068,0.793345319162568
2023,2,6,"Rail","Green-D","OFF_PEAK",19277.384012201,24748.88333856,0.778919345511071
2023,2,6,"Rail","Green-D","PEAK",15027.726868344,19030.27183018,0.789674840299003
2023,2,6,"Rail","Green-E","OFF_PEAK",16795.011272333,21329.479652638,0.787408391852439
2023,2,6,"Rail","Green-E","PEAK",11814.766933236,15157.633444354,0.779459865988304
2023,2,6,"Rail","Orange","OFF_PEAK",79693.053208779,89484.317457851,0.890581226663724
